seriesId,matchId,bowlerIds,bowlerLongNames,overNumber,overRuns,overWickets,isComplete,totalBalls,totalRuns,totalWickets,overRunRate,requiredRunRate,requiredRuns,remainingBalls,predictions,balls,events
1410370,1410472,65499,Tom Taylor,1,3,1,True,6,3,1,3.0,11.56,185,96,,"[{'_uid': 46310719, 'id': 46310719, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.01, 'oversActual': 0.1, 'overNumber': 1, 'ballNumber': 1, 'totalRuns': 1, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 1, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 125, 'wagonZone': 8, 'pitchLine': None, 'pitchLength': None, 'shotType': 'LEG_GLANCE', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T20:00:00.000Z', 'batsmanPlayerId': 65368, 'bowlerPlayerId': 65499, 'outPlayerId': None, 'totalInningRuns': 1, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (0b)', 'short': 'AL Davies 0* (0b)', 'long': 'Alex Davies 0* (0b)'}, 'bowlerStatText': {'short': 'TAI Taylor 0-0-1-0', 'long': 'Tom Taylor 0-0-1-0'}}, {'_uid': 46310725, 'id': 46310725, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.02, 'oversActual': 0.1, 'overNumber': 1, 'ballNumber': 2, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': True, 'dismissalType': 2, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 165, 'wagonZone': 2, 'pitchLine': None, 'pitchLength': None, 'shotType': 'FORWARD_DEFENCE', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T19:57:58.000Z', 'batsmanPlayerId': 65368, 'bowlerPlayerId': 65499, 'outPlayerId': 97334, 'totalInningRuns': 1, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'AL Davies 0* (1b)', 'long': 'Alex Davies 0* (1b)'}, 'bowlerStatText': {'short': 'TAI Taylor 0.1-0-1-1', 'long': 'Tom Taylor 0.1-0-1-1'}}, {'_uid': 46310740, 'id': 46310740, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.03, 'oversActual': 0.2, 'overNumber': 1, 'ballNumber': 3, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 125, 'wagonZone': 8, 'pitchLine': None, 'pitchLength': None, 'shotType': 'FORWARD_DEFENCE', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T19:58:04.000Z', 'batsmanPlayerId': 104560, 'bowlerPlayerId': 65499, 'outPlayerId': None, 'totalInningRuns': 1, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (1b)', 'short': 'DR Mousley 0* (1b)', 'long': 'Dan Mousley 0* (1b)'}, 'bowlerStatText': {'short': 'TAI Taylor 0.2-0-1-1', 'long': 'Tom Taylor 0.2-0-1-1'}}, {'_uid': 46310749, 'id': 46310749, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.04, 'oversActual': 0.3, 'overNumber': 1, 'ballNumber': 4, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 125, 'wagonZone': 8, 'pitchLine': None, 'pitchLength': None, 'shotType': 'PUSH_SHOT', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T19:59:37.000Z', 'batsmanPlayerId': 104560, 'bowlerPlayerId': 65499, 'outPlayerId': None, 'totalInningRuns': 1, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (2b)', 'short': 'DR Mousley 0* (2b)', 'long': 'Dan Mousley 0* (2b)'}, 'bowlerStatText': {'short': 'TAI Taylor 0.3-0-1-1', 'long': 'Tom Taylor 0.3-0-1-1'}}, {'_uid': 46310756, 'id': 46310756, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.05, 'oversActual': 0.4, 'overNumber': 1, 'ballNumber': 5, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 125, 'wagonZone': 8, 'pitchLine': None, 'pitchLength': None, 'shotType': 'PUSH_SHOT', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T19:59:38.000Z', 'batsmanPlayerId': 104560, 'bowlerPlayerId': 65499, 'outPlayerId': None, 'totalInningRuns': 1, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '0* (3b)', 'short': 'DR Mousley 0* (3b)', 'long': 'Dan Mousley 0* (3b)'}, 'bowlerStatText': {'short': 'TAI Taylor 0.4-0-1-1', 'long': 'Tom Taylor 0.4-0-1-1'}}, {'_uid': 46310773, 'id': 46310773, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.06, 'oversActual': 0.5, 'overNumber': 1, 'ballNumber': 6, 'totalRuns': 2, 'batsmanRuns': 2, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 85, 'wagonY': 264, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': 'VERTICAL_FORWARD_ATTACK', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T20:01:44.000Z', 'batsmanPlayerId': 104560, 'bowlerPlayerId': 65499, 'outPlayerId': None, 'totalInningRuns': 3, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '2* (4b)', 'short': 'DR Mousley 2* (4b)', 'long': 'Dan Mousley 2* (4b)'}, 'bowlerStatText': {'short': 'TAI Taylor 0.5-0-3-1', 'long': 'Tom Taylor 0.5-0-3-1'}}, {'_uid': 46310776, 'id': 46310776, 'inningNumber': 2, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.07, 'oversActual': 0.6, 'overNumber': 1, 'ballNumber': 7, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 117, 'wagonY': 185, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': 'FORWARD_DEFENCE', 'shotControl': 1, 'timestamp': None, 'modified': '2024-07-12T20:01:44.000Z', 'batsmanPlayerId': 104560, 'bowlerPlayerId': 65499, 'outPlayerId': None, 'totalInningRuns': 3, 'totalInningWickets': 1, 'predictions': None, 'batsmanStatText': {'statInfo': '2* (5b)', 'short': 'DR Mousley 2* (5b)', 'long': 'Dan Mousley 2* (5b)'}, 'bowlerStatText': {'short': 'TAI Taylor 1-0-3-1', 'long': 'Tom Taylor 1-0-3-1'}}]",[]
1410370,1410472,53162,Josh Cobb,2,5,1,True,12,8,2,4.0,12.0,180,90,,[],[]
1410370,1410472,77253,Matthew Waite,3,10,1,True,18,18,3,6.0,12.14,170,84,,[],[]
1410370,1410472,53162,Josh Cobb,4,9,0,True,24,27,3,6.75,12.38,161,78,,[],[]
1410370,1410472,65499,Tom Taylor,5,11,0,True,30,38,3,7.6,12.5,150,72,,[],[]
1410370,1410472,61941,Hayden Walsh,6,7,0,True,36,45,3,7.5,13.0,143,66,,[],[]
1410370,1410472,102713,Ethan Brookes,7,7,0,True,42,52,3,7.42,13.6,136,60,,[],[]
1410370,1410472,61941,Hayden Walsh,8,9,0,True,48,61,3,7.62,14.11,127,54,,[],[]
1410370,1410472,77253,Matthew Waite,9,11,1,True,54,72,4,8.0,14.5,116,48,,[],[]
1410370,1410472,53162,Josh Cobb,10,14,0,True,60,86,4,8.6,14.57,102,42,,[],[]
1410370,1410472,102713,Ethan Brookes,11,14,1,True,66,100,5,9.09,14.66,88,36,,[],[]
1410370,1410472,61941,Hayden Walsh,12,7,0,True,72,107,5,8.91,16.2,81,30,,[],[]
1410370,1410472,65499,Tom Taylor,13,11,0,True,78,118,5,9.07,17.5,70,24,,[],[]
1410370,1410472,77253,Matthew Waite,14,8,0,True,84,126,5,9.0,20.66,62,18,,[],[]
1410370,1410472,65499,Tom Taylor,15,6,3,True,90,132,8,8.8,28.0,56,12,,[],[]
1410370,1410472,77253,Matthew Waite,16,0,2,False,90,132,10,8.8,33.59,56,10,,[],[]
1410370,1410418,49496,Chris Woakes,1,13,0,True,6,13,0,13.0,0.0,0,114,,"[{'_uid': 46154475, 'id': 46154475, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.01, 'oversActual': 0.1, 'overNumber': 1, 'ballNumber': 1, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 263, 'wagonY': 101, 'wagonZone': 2, 'pitchLine': None, 'pitchLength': None, 'shotType': 'VERTICAL_FORWARD_ATTACK', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T18:06:05.000Z', 'batsmanPlayerId': 49573, 'bowlerPlayerId': 49496, 'outPlayerId': None, 'totalInningRuns': 1, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '1* (1b)', 'short': 'A Lyth 1* (1b)', 'long': 'Adam Lyth 1* (1b)'}, 'bowlerStatText': {'short': 'CR Woakes 0.1-0-1-0', 'long': 'Chris Woakes 0.1-0-1-0'}}, {'_uid': 46154482, 'id': 46154482, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.02, 'oversActual': 0.2, 'overNumber': 1, 'ballNumber': 2, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 281, 'wagonY': 120, 'wagonZone': 2, 'pitchLine': None, 'pitchLength': None, 'shotType': 'VERTICAL_FORWARD_ATTACK', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T18:07:44.000Z', 'batsmanPlayerId': 49309, 'bowlerPlayerId': 49496, 'outPlayerId': None, 'totalInningRuns': 2, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '1* (1b)', 'short': 'DJ Malan 1* (1b)', 'long': 'Dawid Malan 1* (1b)'}, 'bowlerStatText': {'short': 'CR Woakes 0.2-0-2-0', 'long': 'Chris Woakes 0.2-0-2-0'}}, {'_uid': 46154488, 'id': 46154488, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.03, 'oversActual': 0.3, 'overNumber': 1, 'ballNumber': 3, 'totalRuns': 0, 'batsmanRuns': 0, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 180, 'wagonY': 125, 'wagonZone': 8, 'pitchLine': None, 'pitchLength': None, 'shotType': None, 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T18:07:44.000Z', 'batsmanPlayerId': 49573, 'bowlerPlayerId': 49496, 'outPlayerId': None, 'totalInningRuns': 2, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '1* (2b)', 'short': 'A Lyth 1* (2b)', 'long': 'Adam Lyth 1* (2b)'}, 'bowlerStatText': {'short': 'CR Woakes 0.3-0-2-0', 'long': 'Chris Woakes 0.3-0-2-0'}}, {'_uid': 46154495, 'id': 46154495, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.04, 'oversActual': 0.4, 'overNumber': 1, 'ballNumber': 4, 'totalRuns': 1, 'batsmanRuns': 1, 'isFour': False, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 87, 'wagonY': 176, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': 'VERTICAL_FORWARD_ATTACK', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T18:07:55.000Z', 'batsmanPlayerId': 49573, 'bowlerPlayerId': 49496, 'outPlayerId': None, 'totalInningRuns': 3, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '2* (3b)', 'short': 'A Lyth 2* (3b)', 'long': 'Adam Lyth 2* (3b)'}, 'bowlerStatText': {'short': 'CR Woakes 0.4-0-3-0', 'long': 'Chris Woakes 0.4-0-3-0'}}, {'_uid': 46154501, 'id': 46154501, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.05, 'oversActual': 0.5, 'overNumber': 1, 'ballNumber': 5, 'totalRuns': 6, 'batsmanRuns': 6, 'isFour': False, 'isSix': True, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 14, 'wagonY': 190, 'wagonZone': 6, 'pitchLine': None, 'pitchLength': None, 'shotType': 'SWEEP', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T18:08:54.000Z', 'batsmanPlayerId': 49309, 'bowlerPlayerId': 49496, 'outPlayerId': None, 'totalInningRuns': 9, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '7* (2b)', 'short': 'DJ Malan 7* (2b 1x6)', 'long': 'Dawid Malan 7* (2b 1x6)'}, 'bowlerStatText': {'short': 'CR Woakes 0.5-0-9-0', 'long': 'Chris Woakes 0.5-0-9-0'}}, {'_uid': 46154508, 'id': 46154508, 'inningNumber': 1, 'ballsActual': None, 'ballsUnique': None, 'oversUnique': 0.06, 'oversActual': 0.6, 'overNumber': 1, 'ballNumber': 6, 'totalRuns': 4, 'batsmanRuns': 4, 'isFour': True, 'isSix': False, 'isWicket': False, 'dismissalType': None, 'byes': 0, 'legbyes': 0, 'wides': 0, 'noballs': 0, 'penalties': 0, 'wagonX': 336, 'wagonY': 140, 'wagonZone': 2, 'pitchLine': None, 'pitchLength': None, 'shotType': 'VERTICAL_FORWARD_ATTACK', 'shotControl': 1, 'timestamp': None, 'modified': '2024-06-14T18:09:58.000Z', 'batsmanPlayerId': 49309, 'bowlerPlayerId': 49496, 'outPlayerId': None, 'totalInningRuns': 13, 'totalInningWickets': 0, 'predictions': None, 'batsmanStatText': {'statInfo': '11* (3b)', 'short': 'DJ Malan 11* (3b 1x4 1x6)', 'long': 'Dawid Malan 11* (3b 1x4 1x6)'}, 'bowlerStatText': {'short': 'CR Woakes 1-0-13-0', 'long': 'Chris Woakes 1-0-13-0'}}]",[]
1410370,1410418,63314,Richard Gleeson,2,3,1,True,12,16,1,8.0,0.0,0,108,,[],[]
1410370,1410418,49496,Chris Woakes,3,5,0,True,18,21,1,7.0,0.0,0,102,,[],[]
1410370,1410418,72719,Hasan Ali,4,9,0,True,24,30,1,7.5,0.0,0,96,,[],[]
1410370,1410418,63314,Richard Gleeson,5,6,0,True,30,36,1,7.2,0.0,0,90,,[],[]
1410370,1410418,72719,Hasan Ali,6,11,0,True,36,47,1,7.83,0.0,0,84,,[],[]
1410370,1410418,49496,Chris Woakes,7,18,0,True,42,65,1,9.28,0.0,0,78,,[],[]
1410370,1410418,104560,Dan Mousley,8,5,0,True,48,70,1,8.75,0.0,0,72,,[],[]
1410370,1410418,53296,Danny Briggs,9,14,1,True,54,84,2,9.33,0.0,0,66,,[],[]
1410370,1410418,104560,Dan Mousley,10,5,0,True,60,89,2,8.9,0.0,0,60,,[],[]
1410370,1410418,62682,Jake Lintott,11,13,1,True,66,102,3,9.27,0.0,0,54,,[],[]
1410370,1410418,104560,Dan Mousley,12,3,1,True,72,105,4,8.75,0.0,0,48,,[],[]
1410370,1410418,53296,Danny Briggs,13,5,1,True,78,110,5,8.46,0.0,0,42,,[],[]
1410370,1410418,104560,Dan Mousley,14,7,0,True,84,117,5,8.35,0.0,0,36,,[],[]
1410370,1410418,53296,Danny Briggs,15,3,1,True,90,120,6,8.0,0.0,0,30,,[],[]
1410370,1410418,62682,Jake Lintott,16,2,2,True,96,122,8,7.62,0.0,0,24,,[],[]
1410370,1410418,53296,Danny Briggs,17,5,0,True,102,127,8,7.47,0.0,0,18,,[],[]
1410370,1410418,63314,Richard Gleeson,18,6,0,True,108,133,8,7.38,0.0,0,12,,[],[]
1410370,1410418,72719,Hasan Ali,19,10,1,True,114,143,9,7.52,0.0,0,6,,[],[]
1410370,1410418,63314,Richard Gleeson,20,2,1,False,114,145,10,7.63,0.0,0,0,,[],[]
