seriesId,matchId,teamId,teamName,playerId,playerLongName,playerBattingStyles,playerRoleType,runs,balls,fours,sixes,strikerate,isOut,fowOrder,fowWicketNum,fowRuns,fowOverNumber,ballOversActual,wickets,lead,bowlerId,bowlerLongName,bowlingStyles,Ground Name,Ground Location,Team 1,Team 2
1447498,1447529,6959,gulbarga-mystics,103079,Luvnith Sisodia,['lhb'],WK,41.0,20.0,5.0,2.0,205.0,True,2.0,3.0,63.0,6.0,5.5,10,155,100873.0,Lavish Kaushal,['lm'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,100878,Devdutt Padikkal,['lhb'],C,13.0,7.0,1.0,1.0,185.71,True,0.0,1.0,33.0,3.0,2.4,10,155,115464.0,Mohsin Khan,['ob'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,84659,BR Sharath,['rhb'],P,6.0,2.0,0.0,1.0,300.0,True,1.0,2.0,39.0,3.0,2.6,10,155,115464.0,Mohsin Khan,['ob'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,112905,R Smaran,['lhb'],P,10.0,12.0,1.0,0.0,83.33,True,3.0,4.0,73.0,8.0,7.3,10,155,100873.0,Lavish Kaushal,['lm'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,112876,KV Aneesh,['rhb'],P,7.0,8.0,1.0,0.0,87.5,True,4.0,5.0,79.0,9.0,8.5,10,155,77825.0,Kranthi Kumar,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,77873,Vijaykumar Vyshak,['rhb'],P,2.0,8.0,0.0,0.0,25.0,True,5.0,6.0,81.0,10.0,9.5,10,155,100862.0,Shubhang Hegde,['sla'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,103067,Prithviraj Shekhawat,['lhb'],P,12.0,18.0,0.0,0.0,66.66,True,6.0,7.0,113.0,15.0,14.2,10,155,77825.0,Kranthi Kumar,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,77839,Rithesh Bhatkal,['rhb'],P,17.0,13.0,0.0,1.0,130.76,True,7.0,8.0,117.0,16.0,15.3,10,155,100862.0,Shubhang Hegde,['sla'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,77821,Praveen Dubey,['rhb'],P,26.0,17.0,1.0,2.0,152.94,True,8.0,9.0,155.0,20.0,,10,155,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,118075,Wahid Faizan Khan,['rhb'],P,13.0,13.0,2.0,0.0,100.0,True,9.0,10.0,155.0,20.0,19.4,10,155,112878.0,Santokh Singh,['rmf'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,118074,Abhishek Prabhakar,['rhb'],P,0.0,1.0,0.0,0.0,0.0,False,,,,,,10,155,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6959,gulbarga-mystics,112918,Monish Reddy,['rhb'],P,,,,,,False,,,,,,10,155,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,106200,LR Chethan,['rhb'],P,89.0,51.0,9.0,4.0,174.5,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,59599,Mayank Agarwal,['rhb'],C,52.0,37.0,6.0,1.0,140.54,True,0.0,1.0,124.0,13.0,12.1,1,4,77839.0,Rithesh Bhatkal,['ob'],"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,115510,Bhuvan Raju,['rhb'],P,13.0,15.0,1.0,0.0,86.66,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,96567,Suraj Ahuja,['rhb'],WK,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,100862,Shubhang Hegde,['lhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,60508,Aniruddha Joshi,['rhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,77825,Kranthi Kumar,['rhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,77837,Gneshwar Naveen,['rhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,115464,Mohsin Khan,['rhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,100873,Lavish Kaushal,['lhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447529,6414,bengaluru-blasters,112878,Santokh Singh,['rhb'],P,,,,,,False,,,,,,1,4,,,,"M Chinnaswamy Stadium, Bengaluru",,Gulbarga Mystics,Bengaluru Blasters
1447498,1447522,6414,bengaluru-blasters,106200,LR Chethan,['rhb'],P,7.0,8.0,1.0,0.0,87.5,True,0.0,1.0,9.0,2.0,1.4,9,153,77873.0,Vijaykumar Vyshak,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,59599,Mayank Agarwal,['rhb'],C,20.0,11.0,2.0,1.0,181.81,True,2.0,3.0,30.0,5.0,4.4,9,153,118074.0,Abhishek Prabhakar,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,115510,Bhuvan Raju,['rhb'],P,1.0,6.0,0.0,0.0,16.66,True,1.0,2.0,28.0,4.0,3.4,9,153,77873.0,Vijaykumar Vyshak,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,94857,Shivkumar Rakshith,['rhb'],P,12.0,16.0,1.0,0.0,75.0,True,4.0,5.0,51.0,9.0,8.1,9,153,118074.0,Abhishek Prabhakar,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,100862,Shubhang Hegde,['lhb'],P,8.0,6.0,0.0,1.0,133.33,True,3.0,4.0,42.0,7.0,6.6,9,153,118074.0,Abhishek Prabhakar,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,96567,Suraj Ahuja,['rhb'],WK,35.0,23.0,3.0,1.0,152.17,True,7.0,8.0,120.0,17.0,16.5,9,153,112918.0,Monish Reddy,['rmf'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,60508,Aniruddha Joshi,['rhb'],P,0.0,2.0,0.0,0.0,0.0,True,5.0,6.0,51.0,9.0,8.3,9,153,118074.0,Abhishek Prabhakar,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,77837,Gneshwar Naveen,['rhb'],P,29.0,21.0,3.0,1.0,138.09,True,6.0,7.0,100.0,14.0,13.5,9,153,77873.0,Vijaykumar Vyshak,['rm'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,77825,Kranthi Kumar,['rhb'],P,16.0,14.0,0.0,1.0,114.28,False,,,,,,9,153,,,,"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
1447498,1447522,6414,bengaluru-blasters,115464,Mohsin Khan,['rhb'],P,7.0,4.0,0.0,1.0,175.0,True,8.0,9.0,130.0,18.0,17.5,9,153,77821.0,Praveen Dubey,['lbg'],"M Chinnaswamy Stadium, Bengaluru",,Bengaluru Blasters,Gulbarga Mystics
