seriesId,matchId,playerId,playerLongName,playerBattingStyles,playerRoleType,battedType,runs,balls,minutes,fours,sixes,strikerate,isOut,fowOrder,fowWicketNum,fowRuns,fowOvers,fowOverNumber,dismissalType.1,bowlerId,bowlerLongName,bowlingStyles
1410370,1410401,102596,Chris Benjamin,rhb,P,yes,4.0,5.0,12.0,0.0,0.0,80.0,True,4.0,5.0,137.0,15.1,16.0,2.0,62510.0,Ben Raine,rmf
1410370,1410401,79145,Aamer Jamal,rhb,P,yes,0.0,1.0,1.0,0.0,0.0,0.0,True,5.0,6.0,137.0,15.2,16.0,2.0,62510.0,Ben Raine,rmf
1410370,1410401,71379,George Garton,lhb,P,yes,19.0,9.0,18.0,2.0,1.0,211.11,True,9.0,10.0,168.0,18.4,19.0,2.0,62510.0,Ben Raine,rmf
1410370,1410401,72719,Hasan Ali,rhb,P,yes,0.0,1.0,2.0,0.0,0.0,0.0,True,7.0,8.0,158.0,17.4,18.0,1.0,93003.0,Matthew Potts,rfm
1410370,1410401,62682,Jake Lintott,rhb,P,yes,0.0,2.0,5.0,0.0,0.0,0.0,True,8.0,9.0,163.0,18.1,19.0,2.0,62510.0,Ben Raine,rmf
1410370,1410401,53296,Danny Briggs,rhb,P,yes,1.0,1.0,3.0,0.0,0.0,100.0,False,,,,,,12.0,,,
1410370,1410494,46597,Moeen Ali,lhb,P,yes,103.0,59.0,79.0,7.0,9.0,174.57,True,4.0,5.0,183.0,19.1,20.0,1.0,112996.0,Josh Hull,lfm
1410370,1410494,65368,Alex Davies,rhb,C,yes,31.0,22.0,37.0,6.0,0.0,140.9,True,0.0,1.0,99.0,8.5,9.0,1.0,109430.0,Rehan Ahmed,lbg
1410370,1410494,104560,Dan Mousley,lhb,P,yes,11.0,10.0,10.0,0.0,1.0,110.0,True,1.0,2.0,118.0,11.1,12.0,3.0,112996.0,Josh Hull,lfm
1410370,1410494,102596,Chris Benjamin,rhb,WK,yes,3.0,7.0,6.0,0.0,0.0,42.85,True,2.0,3.0,121.0,12.2,13.0,1.0,97874.0,Scott Currie,rmf
1410370,1410494,105968,Jacob Bethell,lhb,P,yes,19.0,18.0,26.0,1.0,1.0,105.55,True,3.0,4.0,181.0,18.5,19.0,1.0,97874.0,Scott Currie,rmf
1410370,1410494,68246,Ed Barnard,rhb,P,yes,9.0,3.0,6.0,0.0,1.0,300.0,False,,,,,,12.0,,,
1410370,1410494,71379,George Garton,lhb,P,yes,4.0,3.0,4.0,0.0,0.0,133.33,False,,,,,,12.0,,,
1410370,1410494,106472,Zakary Foulkes,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410494,62682,Jake Lintott,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410494,53296,Danny Briggs,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410494,59957,Craig Miles,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410494,81293,Rishi Patel,rhb,P,yes,7.0,6.0,14.0,1.0,0.0,116.66,True,1.0,2.0,25.0,2.3,3.0,1.0,59957.0,Craig Miles,rm
1410370,1410494,93123,Sol Budinger,lhb,P,yes,9.0,7.0,8.0,2.0,0.0,128.57,True,0.0,1.0,18.0,1.4,2.0,1.0,106472.0,Zakary Foulkes,rm
1410370,1410494,109430,Rehan Ahmed,rhb,P,yes,8.0,4.0,9.0,2.0,0.0,200.0,True,2.0,3.0,31.0,2.6,3.0,1.0,59957.0,Craig Miles,rm
1410370,1410494,55321,Peter Handscomb,rhb,C,yes,6.0,10.0,19.0,0.0,0.0,60.0,True,3.0,4.0,54.0,6.5,7.0,1.0,53296.0,Danny Briggs,sla
1410370,1410494,97199,Lewis Goldsworthy,rhb,P,yes,35.0,24.0,28.0,4.0,1.0,145.83,True,6.0,7.0,81.0,10.1,11.0,2.0,53296.0,Danny Briggs,sla
1410370,1410494,57196,James Neesham,lhb,P,yes,6.0,5.0,8.0,1.0,0.0,120.0,True,4.0,5.0,70.0,8.4,9.0,1.0,53296.0,Danny Briggs,sla
1410370,1410494,81715,Louis Kimber,rhb,P,yes,2.0,4.0,4.0,0.0,0.0,50.0,True,5.0,6.0,79.0,9.5,10.0,1.0,62682.0,Jake Lintott,lws
1410370,1410494,60346,Ben Cox,rhb,WK,yes,14.0,9.0,15.0,1.0,0.0,155.55,True,8.0,9.0,101.0,13.4,14.0,1.0,71379.0,George Garton,lf
1410370,1410494,97048,Ben Mike,rhb,P,yes,6.0,9.0,9.0,0.0,0.0,66.66,True,7.0,8.0,97.0,12.4,13.0,3.0,105968.0,Jacob Bethell,sla
1410370,1410494,97874,Scott Currie,rhb,P,yes,12.0,11.0,15.0,0.0,1.0,109.09,False,,,,,,12.0,,,
1410370,1410494,112996,Josh Hull,lhb,P,yes,10.0,11.0,10.0,0.0,1.0,90.9,True,9.0,10.0,122.0,16.4,17.0,1.0,105968.0,Jacob Bethell,sla
1410370,1410432,65368,Alex Davies,rhb,CWK,yes,36.0,29.0,38.0,3.0,1.0,124.13,True,1.0,2.0,90.0,9.6,10.0,1.0,52319.0,Sikandar Raza,ob
1410370,1410432,68246,Ed Barnard,rhb,P,yes,48.0,29.0,32.0,8.0,1.0,165.51,True,0.0,1.0,80.0,8.4,9.0,1.0,44691.0,Ravi Bopara,rm
1410370,1410432,104560,Dan Mousley,lhb,P,yes,43.0,26.0,30.0,7.0,0.0,165.38,True,3.0,4.0,146.0,16.2,17.0,1.0,102561.0,Freddie Heldreich,lws
1410370,1410432,67482,Sam Hain,rhb,P,yes,13.0,12.0,17.0,0.0,0.0,108.33,True,2.0,3.0,125.0,14.2,15.0,1.0,44691.0,Ravi Bopara,rm
1410370,1410432,102596,Chris Benjamin,rhb,P,yes,16.0,10.0,24.0,2.0,0.0,160.0,False,,,,,,12.0,,,
1410370,1410432,105968,Jacob Bethell,lhb,P,yes,56.0,16.0,15.0,3.0,7.0,350.0,False,,,,,,12.0,,,
1410370,1410432,71379,George Garton,lhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410432,59957,Craig Miles,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410432,63314,Richard Gleeson,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410432,62682,Jake Lintott,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410432,53296,Danny Briggs,rhb,P,DNB,,,,,,,False,,,,,,,,,
1410370,1410432,53121,David Willey,lhb,C,yes,8.0,4.0,5.0,0.0,1.0,200.0,True,0.0,1.0,13.0,1.1,2.0,1.0,63314.0,Richard Gleeson,rfm
1410370,1410432,69418,Matthew Breetzke,rhb,P,yes,9.0,7.0,15.0,1.0,0.0,128.57,True,2.0,3.0,20.0,2.4,3.0,1.0,59957.0,Craig Miles,rm
1410370,1410432,81319,George Bartlett,rhb,P,yes,1.0,3.0,5.0,0.0,0.0,33.33,True,1.0,2.0,15.0,1.5,2.0,1.0,63314.0,Richard Gleeson,rfm
1410370,1410432,44691,Ravi Bopara,rhb,P,yes,34.0,28.0,38.0,3.0,1.0,121.42,True,7.0,8.0,87.0,11.4,12.0,5.0,62682.0,Jake Lintott,lws
1410370,1410432,52319,Sikandar Raza,rhb,P,yes,13.0,11.0,15.0,1.0,1.0,118.18,True,3.0,4.0,48.0,5.5,6.0,1.0,71379.0,George Garton,lf
1410370,1410432,72119,Saif Zaib,lhb,P,yes,0.0,1.0,2.0,0.0,0.0,0.0,True,4.0,5.0,48.0,5.6,6.0,1.0,71379.0,George Garton,lf
1410370,1410432,65655,Lewis McManus,rhb,WK,yes,9.0,7.0,8.0,1.0,0.0,128.57,True,5.0,6.0,69.0,8.5,9.0,1.0,105968.0,Jacob Bethell,sla
1410370,1410432,88375,Justin Broad,rhb,P,yes,8.0,6.0,5.0,1.0,0.0,133.33,True,6.0,7.0,85.0,10.5,11.0,1.0,53296.0,Danny Briggs,sla
1410370,1410432,52179,Ben Sanderson,rhb,P,yes,1.0,5.0,7.0,0.0,0.0,20.0,True,8.0,9.0,89.0,12.3,13.0,5.0,105968.0,Jacob Bethell,sla
1410370,1410432,102561,Freddie Heldreich,rhb,P,yes,21.0,27.0,24.0,1.0,0.0,77.77,False,,,,,,12.0,,,
1410370,1410432,112125,Raphael Weatherall,rhb,P,yes,21.0,21.0,21.0,0.0,1.0,100.0,False,,,,,,12.0,,,
1410370,1410383,65368,Alex Davies,rhb,CWK,yes,12.0,6.0,6.0,1.0,1.0,200.0,True,0.0,1.0,12.0,0.6,1.0,1.0,101396.0,Ben Lister,lfm
1410370,1410383,97334,Rob Yates,lhb,P,yes,68.0,48.0,68.0,4.0,4.0,141.66,True,6.0,7.0,133.0,16.5,17.0,1.0,52229.0,Luke Fletcher,rmf
1410370,1410383,102596,Chris Benjamin,rhb,P,yes,7.0,9.0,12.0,0.0,1.0,77.77,True,1.0,2.0,31.0,3.6,4.0,1.0,62459.0,Olly Stone,rf
1410370,1410383,67482,Sam Hain,rhb,P,yes,16.0,13.0,20.0,1.0,0.0,123.07,True,2.0,3.0,70.0,8.4,9.0,1.0,69781.0,Matthew Montgomery,ob
1410370,1410383,104560,Dan Mousley,lhb,P,yes,1.0,2.0,5.0,0.0,0.0,50.0,True,3.0,4.0,73.0,9.2,10.0,1.0,94019.0,Lyndon James,rmf
1410370,1410383,105968,Jacob Bethell,lhb,P,yes,12.0,11.0,17.0,1.0,0.0,109.09,True,4.0,5.0,105.0,13.4,14.0,1.0,62459.0,Olly Stone,rf
1410370,1410383,71379,George Garton,lhb,P,yes,7.0,5.0,7.0,0.0,1.0,140.0,True,5.0,6.0,121.0,15.2,16.0,1.0,62459.0,Olly Stone,rf
1410370,1410383,53296,Danny Briggs,rhb,P,yes,13.0,11.0,17.0,1.0,0.0,118.18,True,7.0,8.0,145.0,18.4,19.0,4.0,52229.0,Luke Fletcher,rmf
1410370,1410383,72719,Hasan Ali,rhb,P,yes,6.0,8.0,12.0,0.0,0.0,75.0,True,8.0,9.0,146.0,18.6,19.0,3.0,52229.0,Luke Fletcher,rmf
1410370,1410383,62682,Jake Lintott,rhb,P,yes,3.0,3.0,6.0,0.0,0.0,100.0,True,9.0,10.0,149.0,19.3,20.0,4.0,101396.0,Ben Lister,lfm
1410370,1410383,63314,Richard Gleeson,rhb,P,yes,0.0,1.0,4.0,0.0,0.0,0.0,False,,,,,,12.0,,,
1410370,1410383,67897,Joe Clarke,rhb,C,yes,28.0,18.0,22.0,4.0,1.0,155.55,True,0.0,1.0,54.0,5.5,6.0,1.0,104560.0,Dan Mousley,ob
1410370,1410383,49532,Alex Hales,rhb,P,yes,32.0,26.0,36.0,6.0,0.0,123.07,True,3.0,4.0,71.0,9.2,10.0,1.0,62682.0,Jake Lintott,lws
1410370,1410383,99189,Jack Haynes,rhb,P,yes,0.0,2.0,4.0,0.0,0.0,0.0,True,1.0,2.0,55.0,6.3,7.0,1.0,53296.0,Danny Briggs,sla
1410370,1410383,67178,Will Young,rhb,P,yes,8.0,6.0,7.0,1.0,0.0,133.33,True,2.0,3.0,69.0,8.1,9.0,2.0,53296.0,Danny Briggs,sla
1410370,1410383,69781,Matthew Montgomery,rhb,P,yes,33.0,31.0,36.0,3.0,1.0,106.45,True,6.0,7.0,119.0,16.6,17.0,1.0,72719.0,Hasan Ali,rmf
1410370,1410383,78287,Tom Moores,lhb,WK,yes,6.0,12.0,16.0,0.0,0.0,50.0,True,4.0,5.0,95.0,13.1,14.0,1.0,63314.0,Richard Gleeson,rfm
1410370,1410383,94019,Lyndon James,rhb,P,yes,4.0,6.0,9.0,0.0,0.0,66.66,True,5.0,6.0,105.0,15.3,16.0,1.0,62682.0,Jake Lintott,lws
1410370,1410383,81473,Calvin Harrison,rhb,P,yes,6.0,9.0,20.0,0.0,0.0,66.66,True,8.0,9.0,127.0,19.1,20.0,3.0,104560.0,Dan Mousley,ob
1410370,1410383,62459,Olly Stone,rhb,P,yes,3.0,5.0,10.0,0.0,0.0,60.0,True,7.0,8.0,127.0,18.6,19.0,2.0,72719.0,Hasan Ali,rmf
1410370,1410383,52229,Luke Fletcher,rhb,P,yes,0.0,0.0,3.0,0.0,0.0,0.0,False,,,,,,12.0,,,
1410370,1410383,101396,Ben Lister,rhb,P,yes,0.0,1.0,2.0,0.0,0.0,0.0,True,9.0,10.0,127.0,19.2,20.0,1.0,104560.0,Dan Mousley,ob
1410370,1410472,77109,Ed Pollock,lhb,P,yes,0.0,2.0,2.0,0.0,0.0,0.0,True,0.0,1.0,0.0,0.2,1.0,1.0,106472.0,Zakary Foulkes,rm
1410370,1410472,97265,Kashif Ali,rhb,P,yes,46.0,30.0,37.0,4.0,3.0,153.33,True,2.0,3.0,82.0,9.1,10.0,1.0,46597.0,Moeen Ali,ob
